City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,yen bai,VN,21.7,104.8667,69.49,93,100,0.47,overcast clouds
240,san jeronimo,PE,-11.9472,-75.2829,48.72,87,15,4.14,few clouds
241,columbia,US,34.0007,-81.0348,79.48,70,0,1.01,clear sky
242,sambava,MG,-14.2667,50.1667,70.81,79,1,9.04,clear sky
243,saint-joseph,RE,-21.3667,55.6167,66.58,83,50,11.5,light rain
244,ambalavao,MG,-21.8333,46.9333,52.9,94,9,3.42,clear sky
245,tuktoyaktuk,CA,69.4541,-133.0374,36.72,91,100,6.44,overcast clouds
246,mount gambier,AU,-37.8333,140.7667,56.66,57,96,11.81,light rain
247,avera,US,33.194,-82.5271,78.31,74,94,5.91,overcast clouds
248,nome,US,64.5011,-165.4064,44.67,65,20,6.91,few clouds
249,roebourne,AU,-20.7833,117.1333,77.94,29,0,17.27,clear sky
250,refojos de basto,PT,41.5132,-7.9952,59.68,85,100,3.2,light rain
251,eureka,US,40.8021,-124.1637,71.74,71,0,8.99,clear sky
252,tiksi,RU,71.6872,128.8694,15.78,92,83,5.19,broken clouds
253,barsovo,RU,61.1667,73.1667,53.73,71,20,7.29,few clouds
254,luderitz,NA,-26.6481,15.1594,71.6,27,44,7.18,scattered clouds
255,durango,MX,24.8333,-104.8333,81.64,13,32,16.69,scattered clouds
256,asau,RO,46.4333,26.4,54.52,96,87,1.79,overcast clouds
257,charters towers,AU,-20.1,146.2667,77.95,51,0,4.25,clear sky
258,derzhavinsk,KZ,51.1,66.3167,58.98,63,100,14.05,overcast clouds
259,birjand,IR,32.8663,59.2211,58.98,19,0,4.47,clear sky
260,the valley,AI,18.217,-63.0578,78.66,77,46,22.24,scattered clouds
261,presidencia roque saenz pena,AR,-26.7852,-60.4388,53.33,62,0,7.74,clear sky
262,stabat,ID,3.761,98.4513,79.0,98,100,1.7,moderate rain
263,hualmay,PE,-11.0964,-77.6139,63.54,84,9,8.72,clear sky
264,montelimar,FR,44.5584,4.7509,60.73,83,93,2.04,overcast clouds
265,akureyri,IS,65.6835,-18.0878,45.99,84,95,8.93,overcast clouds
266,brae,GB,60.3964,-1.353,48.38,90,99,8.39,overcast clouds
267,maniitsoq,GL,65.4167,-52.9,32.31,63,6,9.33,clear sky
268,abbeville,FR,50.1,1.8333,64.49,87,100,15.88,overcast clouds
269,saint-augustin,CA,51.226,-58.6502,39.04,60,73,5.73,broken clouds
270,koumac,NC,-20.5667,164.2833,81.25,60,55,5.86,broken clouds
271,eganville,CA,45.5334,-77.0994,64.44,74,100,4.36,overcast clouds
272,san juan nepomuceno,CO,9.9516,-75.082,77.58,92,100,4.38,overcast clouds
273,san ramon,US,37.7799,-121.978,77.58,65,0,12.66,clear sky
