City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,inirida,CO,75.58,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
386,ntoum,GA,75.81,light rain,0.3833,9.7833,Hôtel Santa Barbara
388,tshikapa,CD,77.27,overcast clouds,-6.4167,20.8,Tatem beach
392,nouadhibou,MR,70.05,overcast clouds,20.931,-17.0347,El Medina
397,wamba,NG,77.77,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
402,sumbe,AO,75.4,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
404,tasgaon,IN,75.97,overcast clouds,17.0333,74.6,Hotel Shree Siddhivinayak
405,kieta,PG,84.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
406,mumford,GH,80.13,few clouds,5.2618,-0.759,Spanish Villa
409,matara,LK,79.23,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
410,takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
412,san cristobal,VE,67.3,overcast clouds,7.7669,-72.225,Pirineos
413,sibolga,ID,76.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
414,belmonte,BR,75.33,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
416,galesong,ID,78.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
417,alvorada,BR,76.37,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
424,lanja,IN,80.51,overcast clouds,16.85,73.55,Naivedyam Farmstay
425,qena,EG,79.41,overcast clouds,26.1615,32.7183,"Grand hotel ""Quena"""
426,houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
427,miraflores,MX,76.87,few clouds,19.2167,-98.8083,Hotel Mansión
429,trincomalee,LK,81.19,overcast clouds,8.5711,81.2335,Welcombe Hotel
432,yantai,CN,70.2,clear sky,37.5333,121.4,Yantai Seaside International Youth Hostel
434,awbari,LY,70.11,clear sky,26.5921,12.7805,فندق أوباري
435,kupang,ID,83.71,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
436,piacabucu,BR,76.86,light rain,-10.4056,-36.4344,Piaçabuçu News
437,conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
439,tongchuan,CN,65.32,clear sky,35.0806,109.0897,Tongchuan Hotel
440,nizwa,OM,77.43,clear sky,22.9333,57.5333,Orient Apartments
441,brewster,US,68.58,light rain,41.3973,-73.6171,Heidi's Inn
442,maragogi,BR,77.67,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
443,kulhudhuffushi,MV,81.84,overcast clouds,6.6221,73.07,Haajy Guest House 1
445,salvador,SV,77.4,overcast clouds,13.8333,-88.9167,Chico's Ranch
447,marrakesh,MA,69.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
451,samarai,PG,82.81,clear sky,-10.6167,150.6667,Nuli Sapi
453,bonthe,SL,81.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
454,veraval,IN,82.42,clear sky,20.9,70.3667,Lords Inn Somnath
457,billings,US,71.37,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
458,tsevie,TG,77.02,light rain,6.4261,1.2133,Hotel Melissa
459,trat,TH,81.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
461,tsiroanomandidy,MG,65.44,broken clouds,-18.7667,46.0333,Hotel Ravinala
463,ajdabiya,LY,65.89,clear sky,30.7554,20.2263,Almadina Hotel
469,flinders,AU,73.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
470,luganville,VU,81.99,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
472,am timan,TD,80.19,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
474,cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
476,chardara,KZ,66.76,clear sky,41.2547,67.9692,Жанаргул
478,sapele,NG,76.69,broken clouds,5.8941,5.6767,Movig Hotel & Suites
