City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,304,jalu,LY,29.0331,21.5482,70.92,34,0,9.71,clear sky
305,305,maneadero,MX,31.7167,-116.5667,65.1,76,20,3.0,few clouds
307,307,rio pomba,BR,-21.2747,-43.1792,67.75,92,8,4.0,clear sky
311,311,salinopolis,BR,-0.6136,-47.3561,79.07,88,100,10.6,overcast clouds
314,314,keti bandar,PK,24.1447,67.4497,81.86,82,0,19.66,clear sky
320,320,dondo,MZ,-19.6094,34.7431,76.51,86,74,7.09,light rain
321,321,carroll,US,39.5501,-77.0164,68.23,86,50,1.01,scattered clouds
322,322,olinda,BR,-8.0089,-34.8553,78.53,89,75,2.3,broken clouds
325,325,muisne,EC,0.6,-80.0333,78.26,88,100,10.67,light rain
326,326,voh,NC,-20.9667,164.7,83.32,54,90,6.78,overcast clouds
328,328,hamilton,US,39.1834,-84.5333,74.84,61,53,1.59,broken clouds
329,329,goundi,TD,9.3627,17.366,81.57,56,100,4.52,overcast clouds
331,331,manicore,BR,-5.8092,-61.3003,75.47,98,100,2.48,light rain
332,332,alofi,NU,-19.0595,-169.9187,76.86,66,23,14.94,light rain
334,334,padang,ID,-0.9492,100.3543,77.05,86,21,2.44,few clouds
338,338,port macquarie,AU,-31.4333,152.9167,74.89,77,100,8.23,overcast clouds
341,341,pedasi,PA,7.5333,-80.0333,78.06,82,100,8.46,overcast clouds
345,345,road town,VG,18.4167,-64.6167,80.64,78,20,10.36,few clouds
347,347,karratha,AU,-20.7377,116.8463,78.31,30,9,18.9,clear sky
348,348,gogrial,SS,8.5332,28.1004,74.03,84,100,10.54,moderate rain
349,349,kirakira,SB,-10.4544,161.9205,83.53,75,26,2.44,scattered clouds
351,351,bubaque,GW,11.2833,-15.8333,78.89,86,38,12.19,scattered clouds
355,355,iracoubo,GF,5.4802,-53.2011,77.77,93,100,8.7,moderate rain
359,359,mitu,CO,1.1983,-70.1733,73.78,99,100,1.61,heavy intensity rain
361,361,marawi,PH,7.9986,124.2928,78.6,73,98,0.31,overcast clouds
364,364,chengde,CN,40.9725,117.9361,67.23,23,4,4.41,clear sky
365,365,agadez,NE,19.75,10.25,76.44,14,0,10.38,clear sky
369,369,pitimbu,BR,-7.4706,-34.8086,77.59,85,46,6.64,scattered clouds
371,371,araouane,ML,18.9048,-3.5265,84.22,9,0,7.11,clear sky
372,372,mwene-ditu,CD,-7.0,23.45,69.6,59,86,6.2,overcast clouds
376,376,rockingham,US,42.9668,-71.0995,70.21,89,100,3.15,moderate rain
378,378,kiama,AU,-34.6833,150.8667,73.26,62,0,7.0,clear sky
384,384,inirida,CO,3.8653,-67.9239,75.58,94,100,0.43,overcast clouds
386,386,ntoum,GA,0.3833,9.7833,75.81,95,100,1.19,light rain
387,387,duku,NG,11.2361,4.9073,83.41,60,90,1.23,overcast clouds
388,388,tshikapa,CD,-6.4167,20.8,77.27,53,100,2.17,overcast clouds
392,392,nouadhibou,MR,20.931,-17.0347,70.05,66,100,22.01,overcast clouds
397,397,wamba,NG,8.9333,8.6,77.77,73,68,2.66,broken clouds
